Set,Price_Euro,Pieces,Minifigs
Corner Garage,,2569.0,
Ford Mustang,,1471.0,
NASA Apollo 11 Lunar Lander,,1087.0,
Gingerbread House,,1477.0,
Harley-Davidson Fat Boy,,1023.0,
Woody & RC,,69.0,1.0
Duke Caboom's Stunt Show,,120.0,
Buzz and Bo Peep's Playground Adventure,,139.0,
RV Vacation,,178.0,
Buzz & Woody's Carnival Mania!,,230.0,
Carnival Thrill Coaster,,98.0,2.0
My First Tow Truck,,11.0,
My First Balancing Animals,,15.0,
My First Fun Puzzle,,15.0,
My First Car Creations,,34.0,
Creative Fun,,120.0,1.0
Mickey's Vacation House,,57.0,
Spider-Man vs. Electro,,29.0,
Toy Story Train,,21.0,
Emmet and Lucy's Visitors from the DUPLO Planet,,53.0,
My First Minnie Build,,10.0,
My First Mickey Build,,9.0,
Frozen Ice Castle,,59.0,
Police Bike,,8.0,
Fire Truck,,21.0,
Police Station,,38.0,
Fire Station,,76.0,2.0
Baby Animals,,9.0,
Tropical Island,,73.0,
World Animals,,121.0,
Plane,,12.0,
Submarine Adventure,,24.0,2.0
Bricks and Ideas,,123.0,
Basic Brick Set ,,300.0,
Bricks and Eyes ,,451.0,
Windows of Creativity,,450.0,
Creative Fun,,900.0,
Star Wars: Build Your Own Adventure Galactic Missions parts,,66.0,1.0
The Book of Bedtime Builds parts,,68.0,
Harry Potter: Build Your Own Adventure parts,,101.0,1.0
Christmas Ideas parts,,41.0,
Wooden Minifigure parts,,29.0,
San Francisco,,565.0,
Paris,,649.0,
Trafalgar Square,,1197.0,
Empire State Building,,1767.0,
Burj Khalifa,,333.0,
Minecraft Steve BigFig with Parrot,,159.0,
Minecraft Alex BigFig with Chicken,,160.0,
Minecraft Skeleton BigFig with Magma Cube,,142.0,
The End Battle,,222.0,
The Pirate Ship Adventure,,386.0,
The Wool Farm,,260.0,1.0
The Blaze Bridge,,372.0,
The Creeper Mine,,834.0,
The Flintstones,,748.0,
Steamboat Willie,,751.0,
Tree House,,3036.0,
Central Perk,,1070.0,
Dinosaur Fossils,,910.0,
My First Duck,,6.0,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,,44.0,1.0
Fire ATV,,39.0,1.0
Sky Police Jetpack,,33.0,
Race Boat,,34.0,
Popcorn Cart,,43.0,
Space Satellite,,36.0,
Naboo Starfighter,,48.0,
Snowspeeder,,49.0,
